,Unnamed: 0,0,1,2,3,4,5,datetime,open,low,high,close,action,P/L,Total profit
0,0,-0.4298486630232097,-0.4415923438353645,-0.45560763265883103,-0.4661818541508763,1.0562437919789351,-1.6166070904897123,2018-06-08T05:00:00.000000000Z,1.18062,1.1759,1.18104,1.17642,,,
1,1,-0.4665286830173795,-0.4749398068714414,-0.4833423006027172,-0.4800249429797644,0.8852074999479775,-0.6128856698696802,2018-06-08T09:00:00.000000000Z,1.17638,1.1727,1.17718,1.17482,,,
2,2,-0.4796781241473647,-0.4694970862204743,-0.471555066726565,-0.4589142325157107,0.9644337703557108,0.9450790899145584,2018-06-08T13:00:00.000000000Z,1.17486,1.17406,1.17781,1.17726,,,
3,3,-0.4588293391978481,-0.4700154405681849,-0.4510140782806253,-0.4620289275022098,-0.26761819814056226,-0.13499274506720346,2018-06-08T17:00:00.000000000Z,1.17727,1.17643,1.17775,1.1769,,,
4,4,-0.4566666021698892,-0.4505771525290218,-0.4452071321798725,-0.4369383289998519,-0.6121304890707865,1.1205893068864552,2018-06-10T21:00:00.000000000Z,1.17752,1.1771,1.18,1.1798,,,
5,5,-0.4369424404749127,-0.4434929764436374,-0.428566331413539,-0.4360731359480463,-0.5486981104947407,0.042044171950928425,2018-06-11T01:00:00.000000000Z,1.1798,1.1790200000000002,1.18082,1.1799,,,
6,6,-0.4360773456637296,-0.4329531047068461,-0.4340265941649929,-0.4488779931147669,0.4288539099494621,-0.5649659642055919,2018-06-11T05:00:00.000000000Z,1.1799,1.17839,1.18204,1.17842,buy,0,0
7,7,-0.44888074886924095,-0.4519594307895842,-0.4415669570122367,-0.4365922517791293,0.39970583315439656,0.5498455495573843,2018-06-11T09:00:00.000000000Z,1.17842,1.17752,1.17984,1.17984,hold,0.0012199999999999767,0
8,8,-0.4364233835882012,-0.4384822177490969,-0.4368000609593806,-0.445244182297185,0.31495812088680514,-0.3805784034974119,2018-06-11T13:00:00.000000000Z,1.17986,1.1780700000000002,1.1814,1.17884,hold,0.00022000000000008696,0
9,9,-0.4449878222189157,-0.4574885438318351,-0.4358466817488108,-0.4486184351992253,-0.4846237037954556,-0.14634281705508298,2018-06-11T17:00:00.000000000Z,1.17887,1.17818,1.1792,1.17845,hold,-0.00017000000000002552,0
10,10,-0.4503514100482524,-0.4628448720915164,-0.4710350417026175,-0.4759585356362789,-0.26158313378211256,-1.2118842571499289,2018-06-11T21:00:00.000000000Z,1.17825,1.17412,1.17858,1.17529,sell,-0.001,-0.001
11,11,-0.4755256690536847,-0.4750261992627252,-0.4689549416068257,-0.4618558888918495,-0.2778906481123916,0.6322950580760641,2018-06-12T01:00:00.000000000Z,1.17534,1.17436,1.17717,1.17692,buy,0,-0.001
12,12,-0.4617706615558712,-0.4428882297046409,-0.4578610744292713,-0.4399665046811696,0.5720261814318326,0.9780631543018994,2018-06-12T05:00:00.000000000Z,1.17693,1.17564,1.18089,1.17945,sell,0.002,0.001
13,13,-0.4401432912762905,-0.4478125960078956,-0.4418269695242121,-0.434515788454796,0.5287534859255019,0.2457493838365928,2018-06-12T09:00:00.000000000Z,1.17943,1.17749,1.18032,1.18008,buy,0,0.001
14,14,-0.43452017500359896,-0.4498860133987398,-0.4433003737587294,-0.4581355587690864,0.4786752923128341,-1.0450324420726356,2018-06-12T13:00:00.000000000Z,1.18008,1.17732,1.18008,1.17735,sell,-0.001,0.0
15,15,-0.4583967917922557,-0.47329835143702204,-0.4779687086885884,-0.4840048310180688,0.23560344485442405,-1.147567938044997,2018-06-12T17:00:00.000000000Z,1.17732,1.17332,1.17737,1.17436,buy,0,0.0
16,16,-0.4817543516942046,-0.4916999307807637,-0.4713817250519165,-0.4819283676937355,-0.5409937730158687,0.09626151530535328,2018-06-12T21:00:00.000000000Z,1.17462,1.17408,1.17524,1.1746,hold,4.000000000001797e-05,0.0
17,17,-0.4819273706564405,-0.4942917025193206,-0.4722484334251628,-0.4838317924077084,-0.7136993381672484,-0.08127855998209953,2018-06-13T01:00:00.000000000Z,1.1746,1.17398,1.17494,1.17438,hold,-0.00018000000000009103,0.0
18,18,-0.4842631266466371,-0.4904904373027729,-0.4807421754829782,-0.4835722344921671,0.033878208532626734,0.015202264815602537,2018-06-13T05:00:00.000000000Z,1.17433,1.173,1.17538,1.17441,hold,-0.00015000000000011654,0.0
19,19,-0.4841766171655181,-0.4713113264374633,-0.4731151417984091,-0.4575299236328206,0.11759867580303525,1.165414815841939,2018-06-13T09:00:00.000000000Z,1.17434,1.17388,1.1776,1.17742,sell,0.002,0.002
20,20,-0.4578777349055479,-0.4572293666579798,-0.44902064902215705,-0.4433407575832119,0.12851315389810392,0.6350075797732102,2018-06-13T13:00:00.000000000Z,1.17738,1.17666,1.17923,1.17906,buy,0,0.002
21,21,-0.44334414207766826,-0.4496268362248845,-0.4847290339999131,-0.44126429425887853,3.0478150302673352,0.09589207927878006,2018-06-13T17:00:00.000000000Z,1.17906,1.17254,1.18011,1.1793,hold,4.000000000001797e-05,0.002
22,22,-0.4424790472664851,-0.4460847481821922,-0.4303864189973569,-0.4390147923241852,-0.3594282197637864,0.10356093657692964,2018-06-13T21:00:00.000000000Z,1.17916,1.17881,1.18052,1.17956,hold,0.00029999999999994495,0.002
23,23,-0.43867263009727897,-0.4453936090519101,-0.4289130147628399,-0.4319202092993797,-0.5495969498672758,0.3187422366657441,2018-06-14T01:00:00.000000000Z,1.1796,1.17898,1.1806,1.18038,hold,0.0011199999999999878,0.002
24,24,-0.4319248905700496,-0.4266464601430274,-0.4222393602888405,-0.4132320393803821,-0.025830406928630825,0.8331173090670223,2018-06-14T05:00:00.000000000Z,1.18038,1.17975,1.18277,1.18254,sell,0.002,0.004
