,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,datetime,open,low,high,close,action,P/L,Total profit
10,10,-2.2450737746722544,-0.4227693269098152,0.1266093306510451,0.16682588317128866,0.0951495120933725,0.007398329691894265,-0.01769196341494464,-0.01615621096554216,0.000791265638609207,0.02216392449564025,0.0002505818490283753,0.005778951926047254,0.0069459727648983225,-2.046929027709596e-15,-3.564741368469926e-18,5.7800952568281136e-18,-4.2815999369614406e-18,-3.1671728872774463e-18,2018-06-17T21:00:00.000000000Z,1.1588399999999999,1.15774,1.16032,1.15781,,,
11,11,-2.2592229947173554,-0.5175306243928036,0.12913406301403108,0.16094561166938146,0.09979071241878357,0.002664601555244361,-0.010791084010731464,-0.02071036464768792,-0.012454008542357871,0.02220319065088361,-0.002610505785186255,0.005842631331253283,0.0006245229644613557,-2.0041460469039864e-15,5.672529122029085e-19,-2.8674049900378363e-18,3.769210054464068e-18,3.2541615282599916e-18,2018-06-18T01:00:00.000000000Z,1.15781,1.15763,1.15941,1.1591,,,
12,12,-2.249938645879831,0.3148998809242959,0.12855937195218356,0.149345675052167,0.09263416052839897,-0.0007097487613636383,-0.006668534350882477,-0.024664426191996543,-0.002477332301706876,0.02239562266544792,0.0003277046446040706,0.005581169482470282,-0.007472386804556131,5.561675290424177e-17,3.5539941786925484e-18,-2.835936197255878e-18,-1.9855139631471984e-19,-2.7873820257197424e-19,2018-06-18T05:00:00.000000000Z,1.15915,1.15654,1.15984,1.15898,,,
13,13,-2.2447200045299502,0.41456848207606495,0.11318236448847704,0.1231306492021996,0.0946241090944115,-0.008206169692668666,-0.002229376594495538,-0.025520197341373542,-0.01259413010834822,0.02158832238820445,0.0014577350323092086,0.00789667642894823,0.00757905113849858,-4.229749257382714e-15,1.869421736028208e-18,2.661410569025209e-18,-1.2408646524159564e-18,-2.4572585745243825e-18,2018-06-18T09:00:00.000000000Z,1.1589399999999999,1.15889,1.16246,1.16049,,,
14,14,-2.2469718276659054,0.5779951023059005,0.10949861358803252,0.10987523464582248,0.09346914697122866,-0.013705549314275912,0.002308261057714234,-0.028943768461309975,-0.001746885545552741,0.02100870077586231,-0.005738391913698983,0.006470957553901062,0.002470544438331607,-2.1115469048091378e-15,-7.973061517845731e-19,-2.569088086746011e-19,-2.867573173911918e-18,-1.5417821518568531e-18,2018-06-18T13:00:00.000000000Z,1.1605,1.15955,1.16206,1.16048,,,
15,15,-2.2723958484296136,-0.4576907707874546,0.10258505482391156,0.09674187252754426,0.1079455094248986,-0.0211890301506043,0.008326551248174573,-0.022923286856298925,-0.011877506692926976,0.020120653028188818,8.167795762184007e-05,0.003698750528617905,-0.0011035811153968604,2.2452283307584356e-15,4.971744260184875e-19,1.3189993801237579e-18,1.2720106524590287e-18,3.1153843503581005e-18,2018-06-18T17:00:00.000000000Z,1.16052,1.1603,1.1624299999999999,1.16232,,,
16,16,-2.2579723390420896,-0.04042235620617946,0.08735482434130949,0.07251969166045599,0.10447293179130117,-0.0275881100592724,0.010656478866855544,-0.02468510043425677,-0.006574337715535179,0.020065618148514774,-0.002203892158917769,0.0005692626449643032,0.0005468476588192699,-2.085879907228457e-15,7.528825279529689e-19,-2.5398880861898967e-18,-1.1770625246748027e-18,6.854296057020222e-19,2018-06-18T21:00:00.000000000Z,1.16232,1.16181,1.16412,1.16343,,,
17,17,-2.267209985472055,-0.2195971382012392,0.08486370242409493,0.06249869621202344,0.106341698905798,-0.03285217475458846,0.0150958706329068,-0.02265411740121635,0.004973383540593217,0.019591097778999582,-0.0023849438417449377,-0.0018082651376673461,0.0035844263907431023,7.914928939746409e-17,-1.227140256030227e-18,-1.940910426093189e-18,-2.820051824127272e-20,5.578525778045694e-19,2018-06-19T01:00:00.000000000Z,1.1634,1.1624,1.16446,1.1627399999999999,,,
18,18,-2.2717538509654362,1.7568049164860786,0.13161945308994608,0.0945854513393855,0.07616243469273988,-0.029089915253378326,0.02250037513003644,-0.016465213945767918,0.045302541477714516,0.017983001285044098,0.022814846054474737,-0.0030670573650627285,-0.000979895319474544,1.0742565938461464e-15,8.158537917938852e-20,-3.350447052015541e-18,8.506636754627168e-18,-2.8602926707270647e-18,2018-06-19T05:00:00.000000000Z,1.16279,1.15418,1.1633799999999999,1.15543,,,
19,19,-2.325952838082352,1.3794173267975258,0.1735283904670578,0.12553308790887066,0.07774742502926066,-0.031223666302872436,0.031938136045881166,-0.02412767930810257,-3.7782678011744674e-05,0.014499770187201515,-0.01036672590822102,-0.007954607166819035,-0.005130104357758157,7.117458298631318e-17,4.855314452226398e-18,5.323222270526483e-18,-1.0042921247340323e-17,1.3898064231013735e-17,2018-06-19T09:00:00.000000000Z,1.15544,1.1531,1.15634,1.15547,short,0,0
20,20,-2.326600153243773,1.2641305833876368,0.15871092428497532,0.10059927648460552,0.08081606797377698,-0.0385828541042879,0.03655140443241076,-0.02168829252233704,-0.00893306303174989,0.012641690799576348,-0.006947088328064256,-0.005501118624433308,0.005761068849243616,6.481945186294173e-17,2.8366666678069584e-19,-3.0090084768098136e-18,2.0138676504782612e-19,6.251894489524438e-18,2018-06-19T13:00:00.000000000Z,1.1554799999999998,1.15503,1.1587399999999999,1.15704,short_buy,-0.001,-0.001
21,21,-2.3550604137940936,-0.2402572782015059,0.1433050866543293,0.0813203861914817,0.10259298311872572,-0.046197095840474864,0.040449556936028815,-0.014318936695480991,-0.011137843216557024,0.0104654700975831,-0.0017920273266301262,-0.005967552162789162,5.0342870788586515e-05,1.5506637248536067e-16,-3.7808765125067814e-18,-1.9865258870300803e-18,8.012433341226186e-18,-6.0470651870624294e-18,2018-06-19T17:00:00.000000000Z,1.15704,1.1568200000000002,1.15939,1.15916,short,0,-0.001
