,Unnamed: 0,0,1,2,3,4,5,6,7,8,open,low,high,close,action,P/L,Total profit
0,0,0.35197568389057765,0.35176912870411337,0.3597206053550639,0.3604501969611707,0.2098979834868212,0.2982886003399008,0.553806963953968,0.5674039249152485,0.3709444392549234,1.19517,1.19474,1.20089,1.19889,,,
1,1,0.36014859844647096,0.34882795223352503,0.35139249574639564,0.35437253798536894,0.1832956229490844,0.3061275267960603,0.574814680500954,0.541682317240483,0.3744369624023887,1.1988,1.19102,1.19956,1.1961899999999999,,,
2,2,0.3534166385230216,0.3449800973020791,0.34848213486164625,0.3455711873944853,0.12035897639462265,0.3076657621108209,0.6392048697472573,0.4872504154042328,0.3925790375959574,1.19581,1.18972,1.19782,1.19228,,,
3,3,0.3457165372058991,0.3363334807607255,0.33522879914032416,0.33242543612830616,0.19087408701174974,0.28894413896993937,0.6081477056461783,0.5571648618157972,0.369093337411497,1.19239,1.1838,1.19391,1.18644,,,
4,4,0.3316897444557021,0.3270234409553296,0.3317363660786245,0.32945413618458136,0.16543942521435376,0.2968701527750737,0.6144514246036392,0.5093294979532689,0.3748734837148144,1.18616,1.18224,1.1897,1.1851200000000002,,,
5,5,0.32896543960373736,0.3379920389208317,0.3363929434942242,0.3439504783342713,0.22481674076426375,0.3568032949194971,0.5565974707922582,0.464687394618564,0.3661237599230573,1.18495,1.18432,1.19466,1.19156,,,
6,6,0.34384779916694796,0.3427686864219373,0.3471388913763773,0.3496679797411368,0.14944559119297132,0.4008902343510593,0.5447673994262376,0.5055342398398787,0.3538460205624895,1.19156,1.1891200000000002,1.19682,1.1941,short,0,0
7,7,0.3501519756838908,0.3490048651039365,0.3549297035909379,0.3464265616207093,0.13393471472425109,0.4282887335327168,0.6335926038904116,0.4668196379806001,0.3783845563587047,1.19436,1.1926,1.19964,1.19266,hold,0.0012399999999998857,0
8,8,0.3454913880445797,0.3362450243255198,0.3312438434673594,0.3263477771525045,0.2003446861437493,0.3185238828636994,0.6677085763289463,0.36967733755153015,0.40331480642827977,1.19229,1.18202,1.19387,1.18374,short_buy,0.002,0.002
9,9,0.3266914330744118,0.3175586023883237,0.3184830303573029,0.31972988182329803,0.23805837832116014,0.254593162356469,0.4553669563021352,0.3727221282063575,0.3558810384073704,1.18394,1.17632,1.1854200000000001,1.1808,short,0,0.002
10,10,0.3192389958347402,0.3138876603272888,0.3214157786334736,0.3166010129431629,0.2023625224939134,0.27243664719766425,0.5338635233469596,0.4112248472941022,0.3612209106719359,1.1806299999999998,1.17763,1.1837600000000001,1.17941,hold,0.0011900000000000023,0.002
11,11,0.3166497804795679,0.3104820875718711,0.31550550729828963,0.31104108047270723,0.15397745315973324,0.2661173190509133,0.5501286880809438,0.39925437680624215,0.3612425596739693,1.1794799999999999,1.17499,1.18222,1.1769399999999999,short_buy,0.002,0.004
12,12,0.3116964989305417,0.3046439628482975,0.3080057311722039,0.31594822734946604,0.13991875727744255,0.28645779516076353,0.3764799372240462,0.4131956213882582,0.316120147194229,1.1772799999999999,1.17164,1.1795799999999999,1.1791200000000002,short,0,0.004
13,13,0.3152988855116513,0.3122291021671825,0.31700546252350664,0.31295441755768144,0.17161532761723294,0.3416264712925001,0.5142638329415199,0.3734390425830244,0.34881422799871753,1.17888,1.17566,1.1830100000000001,1.17779,hold,0.0011300000000002753,0.004
14,14,0.3135427220533602,0.30329500221141115,0.2988716754723739,0.2947889701744517,0.268517783423309,0.26263836289119263,0.5326048443212008,0.3671260503497032,0.3510589679982005,1.1781,1.16756,1.17897,1.16972,short_buy,0.002,0.006
15,15,0.2944500731734777,0.2946483856700576,0.30220739679412545,0.2997861564434441,0.2204734307187467,0.2976905353110141,0.5178355250075128,0.4392053041929946,0.33093555566999217,1.16962,1.16905,1.17506,1.17194,short,0,0.006
16,16,0.30014634695485765,0.2909553295002211,0.2920882958717647,0.2839392234102423,0.21284203980099506,0.2585107823306999,0.5926938113142828,0.473409400699301,0.3370373384924661,1.17215,1.1645299999999998,1.17339,1.1649,short_buy,0.002,0.008
17,17,0.2923336710570752,0.2898275099513489,0.2836034745231489,0.2782892515475523,0.17700725097914682,0.26167171332068384,0.5608867286547403,0.49623983884845296,0.31999075705940594,1.16868,1.1607399999999999,1.17288,1.16239,short,0,0.008
18,18,0.278351908139142,0.27012383900928844,0.26179815527894695,0.25908835115363016,0.300379750185244,0.20442848737412145,0.4312926223004566,0.4882141993842857,0.28654244280728913,1.1624700000000001,1.151,1.1639700000000002,1.15386,short_buy,0.002,0.01
19,19,0.25820105820105843,0.2782839451570101,0.2636786961583236,0.2873607203151381,0.3056558960516566,0.3188912230825049,0.34371792353090197,0.4625504855736716,0.2674292970674757,1.15352,1.15184,1.1676600000000001,1.16642,short,0,0.01
20,20,0.2869300911854103,0.2888544891640866,0.2911256380406554,0.2940911648846374,0.27485908224833283,0.4159220309190613,0.4570617194403466,0.4651010648400303,0.2873538086748271,1.16628,1.1641,1.17244,1.16941,short_buy,-0.001,0.009000000000000001
21,21,0.2930991782055616,0.28748341441839925,0.2858422136652638,0.2862127180641533,0.26846154863977983,0.3997517781716647,0.4625187106723026,0.4601999833561881,0.2885555756947785,1.1690200000000002,1.16174,1.17182,1.16591,short,0,0.009000000000000001
22,22,0.28609703928852864,0.29332153914197284,0.29517775588788403,0.29510410804727066,0.17928972160474224,0.4782455516888495,0.3753271587361586,0.5343731718866572,0.25569310834278475,1.16591,1.16591,1.17446,1.1698600000000001,short_buy,-0.001,0.008
